Title,Author,ISBN Valid,Publisher,Subjects,i,Subjects_fine
L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,John Larmer,9782765033202; 276503320X,Chenelière éducation,enseignement methode des projets; enseignement methodes actives; enseignement secondaire; enseignement travail de groupe; enseignement travail en equipe; psychologie de leducation,12,apprentissage psychologie enseignement secondaire pedagogie du projet; enseignement en equipe; enseignement methode des projets; enseignement secondaire; enseignement travail de groupe; methodes actives
Pour une pédagogie du projet /,Isabelle Bordalo,9782011709219; 2011709210,Hachette éducation,enseignement methode des projets,13,enseignement methode des projets
Une classe qui coopère : pourquoi ? comment ? /,Christian Staquet,9782850084324; 2850084328,Chronique sociale,apprentissage psychologie ecole eleve motivation,14,apprentissage psychologie classe enseignement cooperation eleve
Penser le projet : concepts et outils d'une pédagogie émancipatrice /,Francis Tilman,2850085510; 9782850085512,Chronique sociale,pedagogie de la maitrise,15,pedagogie de la maitrise
Pays-Bas /,Nicola Williams,9782816195590; 2816195597,Lonely planet,guides touristiques et de visite; paysbas,16,guides touristiques et de visite; paysbas
Amsterdam : balades urbaines /,Katherine Vanderhaeghe,9782016256336; 2016256338,Hachette,amsterdam paysbas; guides touristiques et de visite,17,amsterdam paysbas; guides touristiques et de visite
"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",,9782017884026; 2017884022,Hachette Livre,amsterdam paysbas; delft paysbas; guides touristiques et de visite; paysbas; rotterdam paysbas,18,amsterdam paysbas; amsterdam paysbas region; delft paysbas; guides touristiques et de visite; la haye paysbas; rotterdam paysbas
Pays-Bas,,9782067257863; 2067257862,Michelin,guides touristiques et de visite; paysbas,19,guides touristiques et de visite; paysbas
Amsterdam /,Christopher Catling,9782822902526; 2822902526,National geographic,amsterdam paysbas; guides touristiques et de visite,20,amsterdam paysbas; guides touristiques et de visite
Histoire des Etats-Unis /,François Durpaire,9782715413801; 2715413807,Presses Universitaires de France,etatsunis histoire,21,etatsunis histoire
"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /",Marion Gluck,9782035993250; 2035993253,Larousse,femmes sante et hygiene; hormones femelles; sante mentale,22,femmes sante et hygiene; hormones femelles; sante mentale
C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,Martin Winckler,9782378801267; 2378801262,L'Iconoclaste,contraception; feminite; femmes sante et hygiene; guides pratiques; gynecologie; physiological phenomena; professionalpatient relations; sexualite feminine; sexuality; vie sexuelle; womens health,23,contraception; feminite; femmes sante et hygiene; guides pratiques; gynecologie; professionalpatient relations; reproductive physiological phenomena; sexualite feminine; sexuality; vie sexuelle femmes; womens health
Le sentiment de justice dans les relations sociales /,Jean Kellerhals,2130486851; 9782130486855,Presses universitaires de France,integration sociale; justice; justice distributive,24,equite groupe justice norme sociale; justice distributive relations sociales; justice relations sociales; justice sociale
S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,Mélanie Fenaert,9782340035461; 2340035465,Ellipses,apprentissage par le jeu; gamification; guides pratiques; jeux devasion; jeux educatifs,25,apprentissage par le jeu; gamification; guides pratiques; jeux devasion; jeux educatifs
"Pays basque : France, Espagne et Navarre",,9782067253407; 2067253409,Michelin,guides touristiques et de visite; navarre espagne; navarre francaise france; pays basque espagne; pays basque france,26,guides touristiques et de visite; navarre espagne; navarre francaise france; pays basque espagne; pays basque france
Le rapport de Brodeck /,Manu Larcenet,9782205073850; 2205073850; 9782205075403; 2205075403,,bandes dessinees,27,bandes dessinees
Hanbok /,Sophie..... Darcq,2367310254; 9782367310251,L'Apocalypse,bandes dessinees; bandes dessinees biographiques; finances internationales bandes dessinees; recits de voyages,28,adoption internationale bandes dessinees; bandes dessinees; bandes dessinees autobiographiques; bandes dessinees autobiographiques france; recits de voyages francais coree
Philosophia : une histoire de la philosophie en BD /,Nicolas Tenaillon,9782340027787; 2340027780,Ellipses,bandes dessinees; philosophes; philosophie; philosophie histoire,29,bandes dessinees; philosophes; philosophie; philosophie histoire
Chaussettes : 20 modèles à tricoter toute l'année /,Niina 19..-.... Laitinen,9782383381372; 2383381373,La Plage,manuels damateurs; tricot modeles,30,bas et chaussettes; manuels damateurs; tricot modeles
Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,Wendy Johnson,9782212675504; 221267550X,Eyrolles,guides pratiques; tricot modeles,31,bas et chaussettes tricot modeles; guides pratiques
Le métier de sociologue : préalables épistémologiques /,Pierre Bourdieu,9782713228209; 2713228204,Éditions EHESS,epistemologie; methodologie; sociologie; sociology methodology,32,epistemologie de la sociologie; sociologie methodologie; sociologie pratique; sociologues; sociology methodology
Le dahlia noir /,Matz,9782203045682; 220304568X,Payot & Rivages; Casterman,bandes dessinees,33,bandes dessinees
Le bleu est une couleur chaude /,Julie Maroh,9782723467834; 272346783X,Glénat,bandes dessinees; homosexualite; lesbianisme,34,bandes dessinees; homosexualite; lesbianisme
"Dictionnaire de la pensée politique : idées, doctrines et philosophes /",Olivier.... Nay,9782247060009; 2247060005,Armand Colin,dictionnaires; idees politiques; philosophie politique; science politique,35,dictionnaires; doctrine politique dictionnaire; idees politiques; philosophie politique; philosophie politique dictionnaire; science politique dictionnaire
Roger et ses humains /,Paka (....),9782800164199; 2800164190; 9782800167299; 2800167297; 9791034743629,Dupuis,bandes dessinees; ouvrages pour la jeunesse; robots,36,bandes dessinees; ouvrages pour la jeunesse; robots
"Simenon, l'Ostrogoth /",José-Louis Bocquet,9782505120094; 2505120099; 9782505120100; 2505120102; 9782505120117; 2505120110,Dargaud,bandes dessinees,37,bandes dessinees; simenon georges
Géostratégix /,Pascal Boniface,9782100830824; 2100830821; 9782100851140; 2100851144,Dunod,bandes dessinees; geopolitique; relations internationales,38,bandes dessinees; geopolitique; relations internationales
Partir : sur les chemins de Compostelle /,Lili Sohn,9782203221918; 2203221917,Casterman,chemins de saintjacques,39,chemins de saintjacques
Peau d'homme /,Hubert,9782344010648; 2344010645,Glénat,bandes dessinees; differences entre sexes,40,bandes dessinees; differences entre sexes; mariages royaux et nobles renaissance
Morgane /,Stéphane Fert,9782756070056; 275607005X,Delcourt,bandes dessinees,41,bandes dessinees
Le monde de Sophie /,Vincent.... Zabus,9782226475978; 2226475974; 9782226464378; 2226464379,Albin Michel,bandes dessinees; philosophie,42,bandes dessinees; philosophie
Suisse,,9782067261730; 2067261738,Michelin,guides touristiques et de visite; suisse,43,guides touristiques et de visite; suisse
Tokyo tarareba girls /,Akiko Higashimura,9782353481903; 2353481906; 9782353481996; 235348199X; 9782353482009; 2353482007; 9782353482092; 2353482090; 9782353482191; 2353482198; 9782353482313; 2353482317; 9782353482467; 2353482465; 9782353482542; 2353482546; 9782353482573; 2353482570,Le Lézard Noir,bandes dessinees; mangas,44,bandes dessinees; mangas
Yotsuba & ! /,Kiyohiko Azuma,9782351420713; 2351420713; 9782351420720; 2351420721; 9782351420737; 235142073X; 9782351420744; 2351420748; 9782351421536; 2351421531; 9782351422106; 2351422104; 9782351423448; 2351423445; 9782351423950; 235142395X; 9782351425374; 2351425375; 978235142660,Kurokawa,bandes dessinees; mangas; ouvrages pour la jeunesse,45,bandes dessinees; mangas; mangas japon; ouvrages pour la jeunesse
Le monde sans fin /,Jean-Marc Jancovici,9782205088168; 2205088165,Dargaud,bandes dessinees; changement global de lenvironnement; changements climatiques; climate change; environmental health; graphic novel; rechauffement de la terre; ressources energetiques; transition energetique; vulgarisation scientifique,46,bandes dessinees; changement global de lenvironnement; changements climatiques; climate change; energygenerating resources; environment and public health; environmental health; graphic novel; rechauffement de la terre; ressources energetiques; transition energetique; vulgarisation scientifique
La Fille à la moto /,Ôji Suzuki,9782889231164; 288923116X,Atrabile Editions,,47,
Seuls en exil /,Fabian Menor,9782940673773; 2940673772,Helvetiq,bandes dessinees; immigres,48,bandes dessinees; immigres suisse
Coming in /,Elodie Font,9782228929097; 2228929093,Arte Editions; Editions Payot & Rivages,acceptation de soi; coming out; graphic novel; homosexualite; lesbianisme; lesbiennes; romans graphiques; self concept,49,acceptation de soi; coming out; graphic novel; homosexualite; homosexuality female psychology; homosexuality psychology; lesbianisme; lesbiennes; romans graphiques; self concept
Les héros de l'étoffe : la fabuleuse histoire du textile /,Séverine Laliberté,9782368465196; 2368465197,Cité sciences et industrie; Steinkis,art textile; bandes dessinees; mode histoire; vetements,50,bandes dessinees; mode histoire; textiles et tissus histoire; vetements histoire
Le bébé des Buttes-Chaumont /,Jacques Tardi,9782203013131; 2203013133,Casterman,bandes dessinees,51,bandes dessinees
Ascension /,Shin'ichi Sakamoto,9782756016641; 2756016640; 9782756020433; 2756020435; 9782756020440; 2756020443; 9782756020457; 2756020451; 9782756020464; 275602046X; 9782756020471; 2756020478; 9782756022499; 2756022497; 9782756024851; 2756024856; 9782756024868; 2756024864; 978275602487,Delcourt,bandes dessinees; mangas,52,bandes dessinees; mangas
Fullmetal alchemist /,Hiromu Arakawa,9782351420171; 2351420179; 9782351420188; 2351420187; 9782351420195; 2351420195; 9782351420416; 2351420411; 2351420454; 9782351420454; 2351420462; 9782351420461; 2351420470; 9782351420478; 2351420489; 9782351420485; 2351420497; 9782351420492; 978235142147,Kurokawa,bandes dessinees; mangas; shonen,53,bandes dessinees; mangas; shonen
Pil /,Mari Yamazaki,9782203066427; 2203066423,Casterman,bandes dessinees; mangas,54,bandes dessinees; mangas
Goán tau chez moi /,Li.... Li-Chin,2369902965; 9782369902966,Çà et là,bandes dessinees,55,bandes dessinees
Soixante printemps en hiver /,Aimée de Jongh,9791034747375,Dupuis,bandes dessinees; minorites sexuelles,56,bandes dessinees; minorites sexuelles
Python pour les SHS : introduction à la programmation pour le traitement de données /,Emilien Schultz,9782753581067; 2753581061,Presses universitaires de Rennes,python computer program language; python langage de programmation; sciences humaines recherche; sciences sociales,57,python computer program language; python langage de programmation; sciences humaines recherche informatique; sciences sociales informatique
A silent voice /,Yoshitoki Oima,9782355927713; 2355927715; 9782355927942; 2355927944; 9782355928222; 2355928223; 9782355928390; 2355928398; 9782355928659; 2355928657; 9782355929083; 2355929084; 9782355929328; 2355929327,Ki-oon,bandes dessinees; harcelement en milieu scolaire; mangas; surdoues,58,bandes dessinees; harcelement en milieu scolaire; mangas; surdite
L'appel de Néron /,Mari Yamazaki,9782203132436; 2203132434,Castermann,bandes dessinees,59,bandes dessinees
"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",,9782416007279; 2416007270,Editions Eyrolles,internet; systemes informatiques mesures de surete,60,internet; internet droit; internet gestion; systemes informatiques mesures de surete
Hoodoo darlin' /,Léonie Bischoff,9782203047037; 2203047038,KSTR-Casterman,bandes dessinees,61,bandes dessinees
Les médias en Suisse /,Gianni Haver,9782606021603; 2606021606,Editions Loisirs et Pédagogie,medias; medias histoire; opinion publique; societe mediatique,62,medias et opinion publique; medias histoire; medias suisse; societe mediatique
Bonjour Bonsoir /,Vamille,9782889084517; 2889084515,La Joie de lire,bandes dessinees,63,bandes dessinees
Journal inquiet d'Istanbul /,Ersin Karabulut,9782205085761; 220508576X,Dargaud,bandes dessinees,64,bandes dessinees
Le design des bibliothèques publiques  /,Nicolas Beudon,9791092272406,Editions Klog,architecture; bibliotheques; libraries; marchandisation,65,architecture; bibliotheques activites culturelles; bibliotheques constructions amenagement; bibliotheques publiques; bibliotheques services aux publics; libraries; marchandisage
Contrition /,Carlos..... Portela,2207169456; 9782207169452,Denoël,bandes dessinees; bandes dessinees policieres; crimes sexuels,66,bandes dessinees; bandes dessinees policieres; delinquants sexuels
Les contraceptés : enquête sur le dernier tabou /,Guillaume Daudin,9782368464304; 2368464301,Steinkis,bandes dessinees; contraception; graphic novel,67,bandes dessinees; contraception; contraception masculine; contraceptive devices male; graphic novel
Formose /,Li.... Li-Chin,9782916207629; 2916207627,Cà et là,bandes dessinees,68,bandes dessinees
Les mers du Sud /,Hernán Migoya,9782205207941; 2205207946,Dargaud,bandes dessinees,69,bandes dessinees
Fudafudak : l'endroit qui scintille /,Li.... Li-Chin,2369902361; 9782369902362,Cà et là,bandes dessinees; bandes dessinees humoristiques; comic books strips etc; comics; graphic novel; romans graphiques; taiwan,70,ami peuple de taiwan bandes dessinees; amis taiwan people; amis taiwan people comic books strips etc; autochtones taiwan mœurs et coutumes bandes dessinees; bandes dessinees; comic books strips etc; comic books strips etc taiwan; comics graphic works; graphic novels; graphic novels taiwan; romans graphiques taiwan; taiwan; taiwan aborigines social life and customs; taiwan aborigines social life and customs comic books strips etc
Les sentiments du Prince Charles /,Liv.... Strömquist,9782878271980; 287827198X,Rackham,bandes dessinees; relations hommesfemmes,71,bandes dessinees; relations hommesfemmes
Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,Susanne Abplanalp,9782606016982; 260601698X,Editions Loisirs et Pédagogie,banques suisse 20e siecle; guides pratiques; relations humaines; sociologie du travail,72,relations humaines; relations professionnelles suisse 20e siecle; savoirvivre guides pratiques; sociologie du travail
Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,Jean Christophe Schwaab,9782606016135; 2606016130,LEP Loisirs et pédagogie,arbeitsrecht; droit du travail; einzelarbeitsvertrag; guides pratiques; lehrmittel; schweiz,73,arbeitsrecht; arbeitsvertrag; droit du travail suisse; guides pratiques; lehrmittel; schweiz
Turing à la plage : l'intelligence artificielle dans un transat /,Rachid Guerraoui,9782100795550; 2100795554,Dunod,intelligence artificielle; theorie quantique,74,informatique quantique; intelligence artificielle; turing alan
GTO : great teacher onizuka /,Tohru Fujisawa,9782811609665; 2811609660; 9782811609252; 2811609253; 9782811609474; 2811609474; 9782811607319; 2811607315; 9782811609368; 2811609369; 9782811607067; 2811607064; 9782811606794; 2811606793; 9782811606626; 2811606629; 9782811606237; 2811606238; 978281160585,Pika,bandes dessinees; mangas,75,bandes dessinees; mangas
Silver spoon = La cuillère d'argent /,Hiromu Arakawa,9782351428344; 235142834X; 9782351428351; 2351428358; 9782351428856; 2351428854; 9782351428962; 235142896X; 9782351428979; 2351428978; 9782351429730; 2351429737; 9782351429747; 2351429745; 9782351429754; 2351429753; 9782368521120; 2368521127; 978236852113,Kurokawa,bandes dessinees; mangas,76,bandes dessinees; mangas
Ici /,Richard McGuire,9782070652440; 2070652440,Gallimard,bandes dessinees,77,bandes dessinees
Fullmetal alchemist /,Hiromu Arakawa,9782351427552; 2351427556; 9782351427521; 2351427521; 9782351428009; 2351428005; 9782351428016; 2351428013; 9782351428740; 2351428749; 9782351428863; 2351428862; 9782351428986; 2351428986; 9782351428993; 2351428994; 9782351429884; 2351429885; 978235142989,Kurokawa,bandes dessinees; mangas,78,bandes dessinees; mangas
La vierge de fer /,Yukito Kishiro,9782344018415; 2344018417,Glénat,bandes dessinees; mangas,79,bandes dessinees; mangas
Erased /,Kei Sanbe,9782355926990; 2355926999; 9782355927140; 2355927146; 9782355927430; 235592743X; 9782355927829; 2355927820; 9782355928307; 2355928304; 9782355929182; 2355929181; 9782355929762; 2355929769; 9791032700570; 9791032701799,Ki-oon,bandes dessinees; mangas,80,bandes dessinees; mangas
Kokkoku /,Seita Horio,9782723498142; 272349814X; 9782723498159; 2723498158; 9782723498166; 2723498166; 9782344008300; 2344008306; 9782344008317; 2344008314; 9782344013052; 2344013059; 9782344013069; 2344013067; 9782344013076; 2344013075,Glénat,bandes dessinees; mangas,81,bandes dessinees; mangas
Voleuse /,Lucie Bryon,9782377317813; 2377317812,Sarbacane,bandes dessinees,82,bandes dessinees
L'ora del caffè : manuale di conversazione per generazioni incompatibili /,Gianrico Carofiglio,9788806253219; 8806253212,Einaudi,,83,
Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,Grace 19..-.... Ellis,9782702183311; 270218331X,Editions Calmann-Lévy,bandes dessinees,84,bandes dessinees
Monsieur Remarquable /,Olga Tokarczuk,8366789306; 9788366789302,Format,,85,
Kimchi baguette : journal de bord d'une Coréenne en France ! /,Silki....,2205207954; 9782205207958,Dargaud,bandes dessinees,86,bandes dessinees
Océan express /,François Ayroles,9782844149367; 2844149367,L'Association,bandes dessinees,87,bandes dessinees
Le petit robot de bois et la princesse bûche /,Tom Gauld,9782211313148; 2211313140,l'École des loisirs,freres et soeurs; livres dimages; robots,88,freres et soeurs; livres dimages; robots
La mort n'est que le début... de l'enquête du médecin légiste /,Silke Grabherr,9782828916404; 2828916405,Favre,cadavres; forensic medicine; medecine legale; switzerland,89,autopsy methods; cadavres; forensic medicine trends; medecine legale; switzerland; thanatologie
The talk : tu seras toujours un danger à leurs yeux /,Darrin 19..-.... Bell,9782260056072; 2260056075,Julliard,bandes dessinees; conditions sociales; noirs americains,90,bandes dessinees; conditions sociales etatsunis; noirs americains violence envers
Kaiju N°8 /,Naoya Matsumoto,9782820341075; 2820341071; 9782820342348; 2820342345; 9782820343093; 2820343090; 9782820343109; 2820343104; 9782820343116; 2820343112; 9782820343888; 2820343880; 9782820344076; 2820344070; 9782820346018; 2820346014; 9782820346216; 2820346219; 978282034648,Kazé,mangas; shonen,91,mangas; shonen
Le sablier /,Hinako Ashihara,9782505002901; 2505002908; 9782505003298; 2505003297; 9782505003168; 2505003165; 9782505004073; 2505004072; 9782505004363; 2505004366; 9782505005155; 250500515X; 9782505005322; 250500532X; 9782505005612; 2505005613; 9782505006053; 2505006059; 978250500717,Kana,bandes dessinees; mangas,92,bandes dessinees; mangas
Hirayasumi /,Keigo Shinzo,9782353482788; 2353482783; 9782353482795; 2353482791; 9782353483334; 235348333X; 9782353483525; 2353483526; 9782353483570; 2353483577,Le Lezard noir,mangas,93,mangas
Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,Vivien.... García,9782743659042; 2743659041,Payot & Rivages,intelligence artificielle,94,intelligence artificielle
Akane banashi /,Yuki 19..-.... Suenaga,9791032715413; 9791032715420; 9791032715437; 9791032715857,Ki-oon,mangas,95,mangas
Des maux à dire /,Beatriz.... Lema,9791040802396,Sarbacane,bandes dessinees; maladies mentales; meres et filles; recits personnels; romans graphiques,96,bandes dessinees; maladies mentales; meres et filles; recits personnels; romans graphiques
Il y a longtemps que je t'aime /,Marie Spénale,2203276509; 9782203276505,Casterman,bandes dessinees,97,bandes dessinees
Regarde les lumières mon amour /,Annie Ernaux,9782370210371; 2370210370,Seuil,,98,
Peau /,Mieke.... Versyp,9782369903093; 2369903090,Çà et là,bandes dessinees; romans graphiques,99,bandes dessinees; romans graphiques
Fruits basket : une corbeille de fruits /,Natsuki Takaya,2840559188; 9782840559184; 9782840559481; 284055948X; 9782840559870; 2840559870; 2847890319; 9782847890310; 2847891285; 9782847891287; 2847891439; 9782847891430; 2847891927; 9782847891928; 2847893059; 9782847893052; 2847893571; 9782847893571; 978284789406,Delcourt,bandes dessinees; mangas; ouvrages pour la jeunesse; shonen,100,bandes dessinees; mangas; ouvrages pour la jeunesse; shojo
Orange /,Ichigo Takano,9782369740315; 2369740310; 9782369740384; 2369740388; 9782369740537; 2369740531; 9782369740711; 236974071X; 9782369741121; 2369741120; 9782369742791; 2369742798; 9782382124291; 2382124296,Akata,mangas,101,mangas
"Manifeste cyborg et autres essais : sciences, fictions, féminismes /",Donna Jeanne Haraway,9782912969637; 2912969638,Exils Editeur,anthropologie physique; feminisme etudes diverses; identite sexuelle; race; sciences et societe; technologie; technologie de linformation aspect social; theorie feministe,102,anthropologie physique; culture feminisme nature science etudes diverses; feminisme etudes diverses; identite sexuelle; race; sciences et societe; technologie; technologie aspect social; theorie feministe
Bride stories /,Kaoru Mori,9782355922749; 2355922748; 9782355923081; 2355923086; 9782355923371; 235592337X; 9782355924354; 235592435X; 9782355925771; 2355925771; 9782355926556; 2355926557; 9782355928635; 2355928630; 9782355929922; 2355929920; 9791032700624; 9791032702413; 979103270,Ki-oon,asie centrale; mangas; voyages,103,mangas; mariage force asie centrale; voyage
La littérature : une infographie /,Alexandre professeur de littérature.... Gefen,9782271138569; 2271138566,CNRS Éditions,litterature; ouvrages de vulgarisation; ouvrages illustres,104,data visualisation; litterature histoire; ouvrages de vulgarisation; ouvrages illustres
Avec toi /,Keiko 19..-.... Nishi,9782369747765; 2369747765,Akata,mangas,105,mangas
Adieu Eri /,Tatsuki Fujimoto,9782820345943; 2820345948,Crunchyroll,mangas,106,mangas
A schiovere : vocabolario napoletano di effetti personali /,Erri De Luca,880703574X; 9788807035746,Feltrinelli,vocabulaires et manuels de conversation,107,napolitain dialecte; vocabulaires et manuels de conversation
Love fragrance /,Kintetsu 19..-.... Yamada,9782505088066; 2505088063; 9782505088073; 2505088071; 9782505088080; 250508808X; 9782505088097; 2505088098; 9782505088103; 2505088101; 9782505112587; 2505112584; 9782505112594; 2505112592; 9782505112600; 2505112606; 9782505112617; 2505112614; 978250511262,Kana,mangas,108,mangas
Daido Moriyama /,Daido Moriyama,9782330010782; 2330010788,Actes Sud,,109,moriyama daido
The ancient Magus Bride /,Koré Yamazaki,9782372870276; 2372870270; 9782372870337; 2372870335; 9782372870528; 2372870521; 9782372870733; 2372870734; 9782372871174; 237287117X; 9782372872355; 2372872354; 9782372872362; 2372872362; 9782372873352; 2372873350; 9782372873802; 2372873806; 978237287425,Komikku,bandes dessinees; mangas,110,bandes dessinees; mangas
Love & lies /,Musawo,9782811630850; 2811630856; 9782811630867; 2811630864; 9782811630874; 2811630872; 9782811634513; 2811634517; 9782811636029; 2811636021; 9782811637651; 2811637656; 9782811643300; 2811643303; 9782811648817; 281164881X; 9782811654818; 281165481X; 978281166112,Pika éd,bandes dessinees; mangas,111,bandes dessinees; mangas
Amanchu! /,Kozue Amano,9782355922459; 2355922454; 9782355922886; 2355922888; 9782355923135; 2355923132; 9782355924064; 2355924066; 9782355925344; 2355925348; 9782355926037; 2355926034; 9782355927478; 2355927472; 9782355926792; 2355926794; 9782355929601; 2355929602; 979103270221,Ki-Oon,bandes dessinees; mangas,112,bandes dessinees; mangas
Eclat(s) d'âme /,Yuhki Kamatani,9782369742739; 2369742739; 9782369743095; 2369743093; 9782369743187; 2369743182; 9782369743293; 2369743298,Akata,mangas; minorites sexuelles; shonen; transidentite; violence psychologique,113,mangas; minorites sexuelles; shonen; transidentite; violence psychologique
Bâtard /,Carnby 19..-.... Kim,9791032708484; 9791032710005; 9791032710081; 9791032710180; 9791032710418,Ki-oon,bandes dessinees; mangas,114,bandes dessinees; mangas
"Amour, sexe et terre promise : reportage en Israël et Palestine /",Salomé Parent-Rachdi,9791037511720,Les Arènes,bandes dessinees; conflit israeloarabe; recits personnels; relations juifsarabes,115,bandes dessinees; conflit israeloarabe; recits personnels; relations juifsarabes
Super furax /,Christophe Bertschy,9791034732197,Dupuis,bandes dessinees,116,bandes dessinees
La petite fille Bois-Caïman /,François Bourgeon,9782356480668; 2356480668; 9782356481122; 2356481125,12 bis,bandes dessinees historiques,117,bandes dessinees historiques
Le sang des cerises /,François Bourgeon,9782413004080; 2413004084; 9782413030621; 241303062X,Delcourt,bandes dessinees historiques,118,bandes dessinees historiques
Un ami tombé du ciel /,Orianne Lallemand,9782733892985; 2733892983,Editions Auzou,livres dimages,119,livres dimages
La petite bûche /,Michaël Escoffier,9782924645314; 292464531X,Éditions d'eux,animaux des forets; creation litteraire; livres dimages,120,animaux des forets; creation litteraire; livres dimages
Le veilleur de lune /,Aurélie Bombace,9782017086864; 201708686X,Gautier-Languereau,,121,
"Schtinki, un sanglier au caractère de cochon : inspiré d’une histoire vraie /",Victoria Giorgini,9782970156505; 2970156504,Lunidea,,122,
Cache-Lune /,Eric Puybaret,9782017124023; 2017124028,Gautier-Languereau,entraide; iv; lune,123,entraide; lune; vol
Monsieur Paul et le poisson Alfred /,Sylvie.... Neeman,9782211321006; 2211321003,l'École des loisirs,amitie; deserts; livres illustres pour enfants; roman pour la jeunesse,124,amitie; deserts; livres illustres pour enfants; roman pour la jeunesse
Le voleur de lettres /,Dominique Torti,9782970146209; 2970146207,Editions Torti,apprentissage; lecture etude et enseignement primaire; ouvrages pour la jeunesse,125,apprentissage de lecriture; lecture etude et enseignement primaire; ouvrages pour la jeunesse
Je revenais des autres : roman /,Mélissa Da Costa,9782226456120; 2226456120,Albin Michel,roman,126,roman
Recitatif : a story /,Toni Morrison,9780593315033; 0593315030,Alfred A Knopf,,127,
Hamnet /,Maggie O'Farrell,9782714494085; 2714494080,Belfond,roman historique,128,roman historique
Énigmes : au coeur de la science : résous 25 mystérieuses affaires /,Ana Gallo,9782378012069; 2378012063,Saltimbanque éditions,livres documentaires; livresjeux; sciences experiences pour la jeunesse,129,livres documentaires pour la jeunesse; livresjeux; sciences experiences pour la jeunesse
Peau de mille bêtes /,Stéphane Fert,9782756091723; 2756091723,Delcourt,bandes dessinees; contes detournes; femmes conditions sociales,130,bandes dessinees; contes detournes; femmes conditions sociales
Carbone & Silicium /,Mathieu Bablet,9791033511960,Ankama,bandes dessinees; bandes dessinees de sciencefiction; intelligence artificielle,131,bandes dessinees; bandes dessinees de sciencefiction; intelligence artificielle
